feature,mean_abs_shap
Education,10.096322792900438
Lead,4.423948336119158
PM2.5,4.17655570286077
Ozone,3.1642116878276134
Unemployment,2.8718680975049553
Linguistic Isolation,2.859932230865116
Drinking Water,2.49498951173728
Traffic,1.5485649459361104
Diesel PM,1.2908017487975056
Groundwater Threats,1.1775774843169113
Housing Burden,1.1525455582990531
Total Population,1.065143385443026
Imp. Water Bodies,0.9893235261354473
Cleanup Sites,0.9018775774500671
Haz. Waste,0.7752873744310407
