Cardiovascular Disease,Ozone,PM2.5,Diesel PM,Drinking Water,Lead,Pesticides,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
16.06,0.048,9.235153951,0.171,575.99,75.93,0.00,1285.971351,0,37.5,0.545,6,0,13.6,11.8,67.1,7.2,31.7
16.1,0.062,13.60886086,0.224,951.96,41.62,6.76,753.2548436,0,0.3,0.27,0,1,27,9.9,43.4,8.6,15.8
14.48,0.042,8.568957288,0.136,658.41,55.36,32614.72,521.3895995,27.85,50.5,0.16,18,6,25.8,15.3,38.5,7.9,17.9
19.42,0.048,12.20870236,0.260,787.94,57.40,0.00,942.6264761,3.75,4,0.27,0,0,36.1,42.1,58.5,1.5,28.3
17.49,0.045,8.895190521,0.303,714.96,64.51,0.00,1700.063399,7.4,33.75,0.075,4,0,37,26.9,55.6,9,43.2
17.27,0.061,13.28667479,0.100,726.64,75.86,0.00,1158.430453,0.7,3,0.44,4,0,23.1,12.1,34.2,8.1,26.7
18.24,0.055,12.14946851,0.391,696.68,67.31,0.00,913.3091682,12.25,40.45,0.405,6,2.5,30.3,14.2,32.5,4.6,13.9
14.82,0.062,13.73646962,0.091,935.29,62.47,0.00,1335.099494,0,9,0,0,0,27.1,10.5,66.1,15.1,33
24.42,0.056,12.87680893,0.253,880.88,55.37,277.32,424.5999156,10.2,39.8,0.06,0,0.1,26.2,9.3,53.6,8.5,10.8
16.96,0.050,12.15059385,0.407,678.37,92.70,0.00,589.3932303,0.7,1.5,0.21,0,1.5,44.5,24,51.8,6.3,28.9
17.17,0.066,13.1636083,0.495,755.73,77.88,0.00,1378.639147,0,7,0.01,0,0,37.1,9.6,60.8,12.7,24.3
14.58,0.048,12.10279177,0.445,787.94,89.66,0.00,1008.237278,11.15,3.25,0.245,0,0.5,32,29.9,45.3,2.9,21.1
15.27,0.064,13.09382857,0.073,782.18,55.76,4102.00,344.2568327,9.4,16.5,0.41,2,9.6,31.6,8.4,58.2,7.7,13
13.14,0.049,10.72442989,0.159,905.94,21.27,390.06,976.8630783,34,281.3,1.9,11,7.55,15.1,9.1,25.5,6.3,9.1
23.12,0.070,11.84575291,0.144,853.22,75.68,0.00,876.0290253,12,0,0.4,0,0,38.3,8.7,46.6,9.8,14.9
19.38,0.042,12.0198097,0.086,339.04,85.18,0.00,801.7190035,1.75,14.5,0.435,7,5.8,22.1,6.4,31.9,6,16.6
26.4,0.060,13.97519349,0.144,667.18,68.53,160.65,654.9119583,0,5.3,0.1,0,2.2,56.1,42.5,69.1,12,14
22.22,0.046,11.90058683,0.133,547.59,75.79,0.01,754.7169269,4,28,0.145,3,0.2,24.4,24.5,44,6.3,23.9
15.43,0.055,12.11979021,0.073,732.00,46.42,2017.37,426.2788725,4,10,0.9,0,4.75,51.2,24.5,64.1,9.2,12.9
10.92,0.046,12.11034605,1.503,787.94,87.26,0.00,3366.191416,0.5,7.5,0.105,0,0,48.9,33.9,74.7,8.7,35.9
15.16,0.053,10.97284819,0.118,676.92,48.98,16.46,264.7878223,16,39,2.75,6,0.7,36.3,17.1,44.4,14.6,16
22.77,0.073,11.2164334,0.123,747.84,85.14,0.00,444.0493287,7,0,0.075,1,0,46,16.1,62.8,9.6,29
20.32,0.044,8.799900706,0.351,281.21,80.62,0.00,1203.55087,17.7,6,0.485,12,0,21.1,5,41.7,7.7,24.4
16.19,0.055,11.78171348,0.569,685.63,42.63,0.00,1859.756054,36,11.5,0.44,6,1.25,11.6,28.3,33.3,5.9,30.6
11.95,0.041,11.89552128,0.270,391.08,70.13,0.00,940.5121374,22.95,21,0.595,3,1.6,17.3,14.3,33,7.1,28.6
20.18,0.062,14.47532656,1.131,896.91,60.36,0.00,2259.013674,15.7,0,0.01,0,0,21.2,11,39.5,2.1,19.2
12.95,0.062,13.86318741,0.076,949.56,54.94,0.00,659.002488,2,0.9,0.2,0,0,51.3,26.1,74,16.1,29.6
22.76,0.070,9.803446595,0.478,299.45,80.73,0.08,1503.328094,7,0,2.145,1,0.2,21.8,7.1,60.4,9.8,9.6
40.85,0.058,8.201487666,0.329,516.58,89.18,0.00,506.0538269,0,27,0,0,9.2,35.2,9.9,75,17,28.9
12.94,0.040,8.930079122,0.549,291.53,85.20,0.00,2340.271121,19.15,16.7,1.665,3,7.5,29.3,28.7,46.9,3.3,20.1
16.71,0.032,9.153314907,0.578,110.41,76.21,0.16,754.1289893,8,18.75,2.71,2,1.2,44.6,20.8,47.2,7.5,24.1
10.94,0.055,11.91454322,0.591,722.53,73.19,0.00,3465.613323,14.25,9,0.085,1,0.2,37.7,40.2,51.7,9.6,33.9
16.31,0.047,12.05058662,0.300,389.13,91.82,0.00,771.5020306,3.2,1.5,0.2,7,0,53.6,28,50.2,7.4,33
20.76,0.050,11.9768033,0.179,477.32,76.93,0.00,1106.697367,54.2,21,0.42,0,0,21,8.3,54.2,4.6,31.5
11.39,0.048,12.19449024,0.277,787.94,64.57,0.00,993.8994974,3.3,5.5,0.795,0,0,18.4,29.4,44.8,10.5,28.1
12.62,0.048,12.16076534,0.749,787.94,66.21,0.00,2499.944951,14.8,25.5,0.88,0,1,20.6,25,51,3.1,31.1
7.37,0.062,11.56388147,0.601,776.14,72.71,0.00,2648.113091,40.7,47.6,0.845,6,0,20.2,NA,40.8,5.8,41.9
18.45,0.055,11.40105137,0.510,867.71,59.87,381.00,1270.099899,1,5,0.145,0,0,24.5,10.4,49.4,17.1,24.1
14.68,0.048,12.07345107,0.302,471.41,91.48,0.00,742.2361935,19.15,11.5,0.12,0,4.4,44.9,17.2,49.8,8.7,20.6
15.2,0.048,7.847474057,0.053,957.59,47.61,209.12,947.2836182,9.25,114.55,0.05,16,11.5,34.9,18.6,40.1,14,16.5
20.48,0.041,12.31736907,0.114,339.04,81.83,0.00,1066.883979,0,0,0.31,11,0,37.3,13.8,39.1,5.4,23.9
19.96,0.045,9.050525809,0.118,456.96,40.96,514.46,686.6449621,13.5,30,0.55,26,5,13.9,13.5,38.9,14.7,8.4
20.84,0.062,11.89473641,0.134,726.64,62.09,0.00,1437.980494,4.6,0,0.195,0,0,17.3,16.4,41.2,8.5,29.1
15.21,0.046,10.83175311,0.280,737.51,68.82,7.66,886.4820499,0,10.4,0.16,22,0,14.1,4.6,44.9,13.1,22.1
21.61,0.040,11.74873865,0.382,391.08,83.97,0.91,420.0753008,1.85,16.2,0.2,0,0,52.5,24.7,59.2,8.9,23.9
24.25,0.048,8.924909757,0.111,265.26,55.09,0.00,1789.929925,6.25,10,0.9,8,1,32.1,8.4,57.9,6.8,24.6
11.96,0.066,13.44944681,0.474,692.37,72.27,0.00,1472.440468,16.7,2,0.255,0,4.2,26.8,9.1,41.1,9.6,19.4
19.84,0.062,13.5200384,0.139,522.04,52.50,1390.73,263.2897585,0,11.75,0.62,2,0,26.8,NA,57.7,14.8,22.5
20.76,0.065,15.98464076,0.708,625.12,47.96,0.00,1355.044665,2,5,0.32,0,0,22.6,5.6,52.6,10.8,14.5
16.81,0.054,11.76431624,1.602,685.63,59.52,0.00,974.4837422,42,0,0.535,3,3.3,8.5,30.6,36.3,7.3,31.3
13.16,0.062,11.49943551,0.140,726.64,75.30,0.00,489.5146704,37,7,0.54,0,4.4,38,10.1,42.3,7.6,30.4
17.19,0.042,10.36458024,0.334,338.50,74.21,0.00,474.6188841,5.6,3.1,1.185,11,4.2,34.3,18.6,56.8,5.7,30.9
19.19,0.043,12.02230894,0.267,443.83,68.87,0.00,903.211502,0,6,0.505,0,0.5,26.9,8.2,39.4,7.5,28.8
20.48,0.042,12.2095544,0.190,339.04,84.63,0.00,732.8744872,0,3.55,0.265,7,0.5,27,7.7,43.7,9.5,25.3
17.41,0.054,11.0642819,0.041,891.92,82.67,15.42,398.2910063,4,0.3,0.1,6,2.85,39.8,18.7,69.7,17.8,20.3
16.34,0.065,13.61160855,0.118,776.67,66.60,55.38,897.7405169,12,10,0,3,1,35.2,9.8,54.5,9.9,13.4
9.38,0.048,12.23163332,0.263,787.94,81.08,0.00,1057.477914,5.15,5.75,0.26,0,0.7,65.2,62,82.3,5.7,25.2
11.22,0.040,8.990585175,0.691,291.53,73.62,0.00,1559.595971,7.1,55.55,0.445,4,5.7,19.4,11.6,48.5,6.7,33
22.22,0.045,11.96563578,0.705,503.63,56.38,0.77,2567.157495,6.4,2,0.505,3,0.5,22.4,12.7,25.9,4.6,11.8
19.4,0.062,13.17311521,0.215,726.64,59.69,0.00,1049.153023,1,5,0.455,3,0,26.3,27.7,42.8,4.4,29.3
12.3,0.058,11.95803873,0.272,745.19,51.96,0.02,1717.0592,12,5.25,0.11,3,0.7,28.4,14,28.9,4.9,19.9
18.21,0.065,15.55019676,0.206,625.12,85.73,0.00,629.5824379,0.2,0,0.275,0,0,44.3,14.2,71.3,18.2,26.5
10.11,0.047,11.77169218,0.767,417.80,51.87,0.00,1867.487411,30.1,67.75,2,0,25,14,7.3,34.8,8.6,24.4
15.69,0.043,10.40977033,0.396,338.50,80.60,0.00,563.8142387,1,44,1.07,9,2.5,25.2,12.6,50.7,7.1,27.1
23.93,0.047,12.02269432,0.102,602.93,87.83,0.00,1049.128156,3.05,6.25,0.105,7,0,49.6,21,55.5,8.2,20.4
17.19,0.042,10.35620826,0.262,338.50,71.39,0.00,907.4993828,6.45,2,0.64,11,7.1,27.3,14.9,43.9,3.5,20
18.81,0.061,11.80929424,0.014,811.80,62.57,103.53,185.3088328,1,10.5,0.205,2,1,37.6,22.8,53.3,20.1,22.7
13.38,0.062,13.85704243,0.065,785.63,31.43,745.84,566.6241487,4.5,29,0.135,0,0.75,32.5,10.6,37.7,6.8,13.2
12.58,0.034,8.63177743,0.381,381.83,82.49,0.00,1820.124321,11,47.5,2.5,10,0,29.6,19.5,42.2,5.4,28.6
24.24,0.045,12.06379023,0.101,338.88,89.60,0.00,863.089924,2.05,8.3,0.28,0,0,53.5,22.3,49.8,7.4,27.2
14.72,0.046,12.05421442,0.596,787.94,80.96,0.00,1078.48013,0.1,0,0.145,0,0,37.7,22.2,56.5,9,24.8
13.54,0.050,9.022356628,0.042,679.23,69.18,632.68,340.0358726,9,22.6,0.05,6,0,68.6,61.3,78.6,22,24.1
15.59,0.048,11.92523796,0.152,409.36,89.59,0.00,988.091479,14.6,5,2.82,0,1.5,50.7,14.7,47.5,5.9,13.3
18.24,0.055,12.12966122,0.221,743.48,81.06,0.00,893.3940799,6,8,0.22,2,0.2,30.3,7.9,41.6,9,18.9
15.45,0.042,12.00914658,0.563,373.79,74.32,0.00,2583.65403,2,7.75,0.31,5,0.4,21.7,9.6,37.9,4.1,22
13.46,0.043,10.40977033,0.375,337.18,76.70,0.00,1155.532767,0,14.3,0.37,16,0.25,32.2,14.1,54.3,8.5,25.6
9.7,0.043,10.42173819,0.959,312.86,18.06,0.00,681.3371813,21.4,162.1,4.07,11,5.25,16.7,8.9,52.7,7.2,32
16.44,0.051,9.547213061,0.035,480.17,63.62,1576.39,177.8261849,8,19,0.1,4,0,53.3,40,56,11,NA
13.52,0.065,12.07133723,0.055,662.19,68.76,758.93,154.8316176,0,23,0.1,0,5,57.6,31.5,64.8,11.6,16.9
9.52,0.067,11.16285509,0.338,726.64,93.71,0.00,1319.63451,8.2,3.8,0.715,0,1.4,42.9,12.2,51.8,5.2,35.3
20.44,0.057,10.25621415,0.054,530.99,57.48,4850.87,164.9026885,10,27,0.4,0,1.5,71.1,45.5,80.4,14.4,27.4
17.59,0.033,8.993569614,0.189,110.41,59.35,0.00,576.5419967,67.4,21,1.36,11,18,18.9,10.5,20.7,5.7,22.6
13.59,0.058,11.94431824,0.443,812.13,66.44,0.08,989.0355616,20,4.8,0.17,1,1.55,25.3,16.5,39.3,2.7,24.1
12.44,0.067,11.23027109,0.340,504.19,82.92,0.00,559.9152551,13.3,14.8,0.82,0,2.25,37.3,24.2,42.8,2.6,25
14.89,0.043,11.9746039,0.898,309.29,64.38,0.00,1966.423911,23.5,35.3,2.535,0,3.25,18.4,6,25.8,3.4,22.9
22.74,0.062,6.53795223,0.003,471.73,76.57,2721.62,115.700332,12,0,0.5,0,6,23.1,NA,34.5,6.4,NA
18.61,0.051,11.9465996,0.200,721.72,78.08,0.00,552.0823767,35.9,16.5,0.435,0,0,21.9,10,38,5.4,20.6
21.61,0.040,11.72966207,0.187,391.08,87.12,1.22,654.8687507,2.6,29.9,0.255,0,1.2,38.4,16.4,41.7,7.8,20.4
14.33,0.047,12.1093104,0.177,787.94,80.72,0.00,1214.28459,11.2,5,0.03,0,0.1,38.3,39.5,49.5,3.7,24.9
15.29,0.044,11.97005427,0.119,787.94,96.19,0.00,832.797894,9.5,0,0.495,0,1.5,39.2,12.4,49.7,5,45.9
18.6,0.048,11.95022379,0.170,649.22,79.77,0.00,716.0593699,13,6.85,0.09,2,2.5,36.4,21.9,44.6,4.9,15.5
12.94,0.058,11.78538706,0.622,787.01,56.50,0.00,1801.161394,41.9,33.1,1.33,9,8.25,8,10.9,33.9,9.6,26.6
11.72,0.060,13.71266211,0.157,733.95,82.12,0.00,1212.158159,0.9,0,0.31,0,0,24.1,NA,55.1,16,14.2
11.99,0.042,11.55275528,0.393,338.50,61.35,0.00,1283.208456,0.5,4,0.66,5,4.25,35,17.8,54,20.9,33.1
24.24,0.046,12.05709531,0.093,463.50,87.35,0.00,868.1067718,4.1,14.5,0.2,0,2,45.7,17.5,45.2,7.1,11.5
15.29,0.062,13.95435856,0.477,796.65,43.24,0.00,913.4796651,0.8,0,0.11,4,0,29.2,19.9,46.3,9.2,27.4
19.81,0.044,11.91789577,0.322,443.83,66.85,0.00,671.2297506,1,8.25,0.955,0,4.2,21.7,11.3,51.4,8.7,33.2
18.87,0.047,11.9261271,0.360,649.22,87.69,0.00,1710.223103,14,44.2,1.255,0,3.6,22.5,11.5,32.1,4.1,15.7
21.22,0.060,13.75899256,0.101,554.40,75.87,0.00,837.578984,3,0,0.36,1,1.25,25.2,17.9,62.4,10.3,26.4
15.58,0.046,12.01107836,0.150,580.12,73.60,0.00,986.5996212,3,13.5,1.595,10,5,18.8,6.5,32.2,9.4,13.7
20.76,0.050,11.87584315,0.189,477.32,73.20,0.00,1111.897314,12.15,6.45,0.24,0,0.7,14.9,5.8,45.6,2.8,25.1
16.26,0.073,11.20942686,0.143,703.69,69.75,0.00,507.9423255,14.3,0,0.26,1,0.2,42.7,16.7,57.6,9.3,21.7
17.75,0.042,12.04384673,0.165,373.79,63.36,54.39,1115.414386,3,3,0.135,5,0.2,34.2,27.2,36.7,8.5,14.7
11.88,0.066,11.35398379,0.183,726.64,61.88,0.00,992.603908,81.3,22.95,4.405,7,63.4,30.7,2.3,44.7,4.3,35.8
22.86,0.072,11.72437453,0.095,793.38,53.45,0.00,1058.773686,16.6,0,0.095,0,0,30.9,8.4,36.8,13.2,29.1
11.96,0.032,8.797360988,1.992,258.79,77.98,0.07,336.3744025,15.35,15.85,2.4,11,16.9,29.7,23.1,40.1,6.3,10.4
16.95,0.053,11.26737923,0.386,891.92,71.51,1.87,1210.1142,8.75,18.5,0.15,0,0,13.9,4.2,42.4,5.2,36.6
18.23,0.067,12.52027712,0.190,568.74,66.32,0.00,381.0024104,28,0,0.96,0,1,43.3,14.6,45.6,6.2,17.2
13.34,0.051,11.98109779,0.107,488.79,71.12,0.00,671.9479911,12.7,16.3,1.335,0,0.5,27.1,17.8,35.4,16.4,8.5
13.1,0.064,13.05015073,0.055,974.57,53.07,46.57,1488.484268,14.4,12.5,2.295,3,0.35,24.4,11.3,40.3,3.8,19.1
16.64,0.049,12.19566675,0.321,795.99,91.15,0.00,384.0688498,5.4,0.3,1.15,0,0.7,48.3,21,45.7,10.2,19.1
11.96,0.032,8.768750217,0.207,258.79,58.74,0.04,322.291326,13.65,23.55,1.42,14,9.3,17.8,5.5,48.1,11.6,25.5
23.64,0.062,7.35997026,0.093,441.80,64.93,0.00,799.3509458,0,9,0.4,0,4,24.8,8.6,50.1,7.2,18.2
12.97,0.060,13.65179233,0.592,796.65,70.17,0.00,466.8622142,3.05,2.5,0.375,0,0,37.9,15.9,53.7,6.3,32
20.71,0.052,9.955776833,0.081,472.63,35.16,1058.67,309,7,25,1.11,26,13.5,25.1,19.1,42,6.8,15.2
15.23,0.041,8.620599954,0.100,363.66,58.92,16.23,1021.980995,0,40.5,1.23,6,2,26.6,15.8,36.6,4.2,19.9
14.06,0.049,12.22276714,0.204,787.94,64.70,0.00,3462.501109,5.6,9,0.46,7,0,22,14.9,39.5,4.7,28.2
19.65,0.066,11.66547916,0.432,726.64,47.49,0.00,1015.254491,36.1,0,0.055,0,0,34.8,16.3,44.1,6.7,30.4
16.66,0.062,7.606766033,0.438,249.28,81.93,0.00,716.2634051,4.1,12,0.145,9,2.5,34.4,41.1,64.2,15.8,23.5
10.75,0.048,11.90789273,0.191,409.36,84.08,0.00,1015.013053,14.1,2,2.16,0,1.5,54.4,22.9,45.8,9.3,23.9
13.09,0.034,7.964033572,0.465,401.64,78.98,0.00,2063.766865,88.6,116.75,2.71,0,8,32.2,13.6,40.9,1.5,32.9
15.63,0.042,12.03026306,0.259,373.79,70.49,0.00,1108.566756,0,4,0.255,5,2.2,28.1,19.3,39.4,3.9,22.6
14.02,0.046,12.17492801,1.502,787.94,72.37,0.00,3712.548484,0.2,7.5,0.155,0,0,37.7,23.7,66.3,6.3,31.9
9.96,0.056,11.82809251,0.395,664.20,70.20,1.16,1041.766445,26.25,49.3,0.925,0,5.5,28,18.2,38.6,1.8,22.2
28.69,0.067,8.082900299,0.022,701.75,56.02,0.87,1822.975136,20.5,0,1.12,2,5.25,24.7,1,53.4,6.9,23.7
21.18,0.049,11.06767086,0.254,956.48,40.33,0.47,1354.435259,9.75,8.75,0.56,0,8,23.8,5.1,33.1,6.7,11.9
15.23,0.061,12.21059103,0.028,870.90,53.53,261.40,149.4525662,0,14.5,0.6,3,4,46,30.9,58.7,20.3,23.4
21.08,0.062,14.04057335,0.694,796.65,62.70,0.00,3048.166333,0,0,0.035,4,0,40.2,3.7,26.7,4.3,22.6
16.71,0.044,11.94880378,0.201,326.44,62.57,0.00,898.3559652,5.15,24.8,1.17,7,6.5,33,17.7,28.6,2.2,22
18.53,0.065,11.63126039,0.069,726.64,81.97,0.00,1245.499306,36.8,10,0.27,0,0,27.6,4.8,30.7,5.1,20.7
26.94,0.049,8.954735919,0.252,265.26,64.32,0.01,947.4959621,3.5,29,0.715,6,0,26.7,5.8,50.4,6.9,35.3
10.62,0.048,12.33647073,0.329,787.94,65.19,0.00,1156.58967,6.65,13.75,0.31,7,0.7,46.5,47,70.4,6.4,21.2
14.78,0.059,11.89983237,0.226,717.69,63.00,0.00,1285.174678,12,11.75,0.37,0,5.05,37.7,21.2,28.7,10.2,11.8
14.49,0.050,9.796189766,0.045,551.79,56.34,448.94,458.7369318,9,174.25,0.1,20,6,27.5,18.9,45,8.6,10.7
9.29,0.043,12.06540746,0.631,440.64,42.79,0.00,2273.143695,15.1,63.25,6.385,0,0,10.2,NA,47.9,14.3,34.3
14.7,0.049,9.949409882,0.283,408.31,65.35,0.00,636.4199358,19.65,8.5,0.485,6,0,34.3,25.5,68.3,6.3,36.4
18.39,0.045,12.03324185,0.158,671.72,86.69,0.00,743.7907775,0.7,5.5,0.33,0,0,44.4,19.1,58,8.5,30.5
24.32,0.044,12.09480796,0.086,366.21,96.15,0.00,827.4445046,0,10.6,0.02,7,0.25,47.4,9.4,52.1,9.7,37
20.48,0.065,15.34683072,0.223,642.59,75.15,0.00,412.4339283,11,27.5,0.25,0,0.5,9.9,0,54.8,16.7,17.5
14.65,0.042,12.03767529,0.169,373.79,81.04,0.00,911.9881192,15.3,22,1.595,5,2.45,18,10.8,35.9,5.4,13.9
13.08,0.059,13.13948203,0.152,709.43,44.83,1.47,472.5801158,15.5,0,0.31,1,3,33.7,19.1,38.2,7.2,19.4
15.82,0.048,12.12349272,0.482,787.94,47.52,0.00,1404.191128,5.85,0.5,0.5,0,0.1,34.3,48.3,63.9,0,38
12.08,0.058,12.90753383,0.193,709.43,62.47,1.25,351.7133,27.3,3.75,0.7,1,6.45,42.7,18.6,49.6,7.2,15.6
13.46,0.058,11.76570581,0.215,685.63,47.75,0.00,692.2168888,39.5,27.6,0.47,6,2.2,20.1,40,45.3,10.2,39.6
11.45,0.056,11.91096563,0.852,678.33,70.23,0.16,2135.522448,28.5,32.45,0.55,3,0.2,27.6,25,28.7,2.9,18.1
17.57,0.043,12.06489236,0.079,614.88,86.65,0.00,1110.518907,7,0,0,0,0,41.7,12.9,66.9,7.7,31.4
15.42,0.044,12.01505311,0.161,457.85,69.26,0.00,853.6990929,8.4,48.25,4.315,0,1.25,30.6,9.3,41.6,3.7,27
23,0.070,11.87627156,0.192,792.78,31.84,0.00,669.791834,13,0,0.215,0,2,25.5,6.6,35.1,12,15.4
14.64,0.044,11.96818163,0.268,339.60,72.79,0.00,887.4212652,11.95,39.05,1.68,0,1.85,32.5,15.3,27.1,3.8,20.5
21.22,0.060,13.63155094,0.047,553.97,79.00,0.55,404.9981089,3.4,1.5,0.71,1,0,35.7,18,74.9,21.2,26.6
13.11,0.066,11.57359089,0.091,726.64,87.30,0.00,651.3217557,36,11,0.145,0,0,41.6,15.6,35.2,6.2,22.6
14.44,0.050,12.12462656,0.581,716.52,83.97,2.11,1776.753138,3,0,0.265,0,0.5,32.2,19.2,31.5,6.9,12
13.76,0.060,13.65870203,0.235,787.04,51.22,0.00,1123.114349,0,0,0.14,0,0,17,8.5,79.2,15.1,35.4
8.28,0.050,12.44209355,0.304,727.88,69.94,0.00,899.6802936,0,12.5,1.08,13,0,40,22.2,62.6,13.3,32.3
17.02,0.061,11.66566111,0.577,365.81,69.71,0.00,2136.707141,0.1,9.25,0.305,0,0.5,20.9,9.3,48.4,12.3,25.4
16.64,0.049,12.0239404,0.112,667.45,82.13,0.00,1117.393939,37.65,23.5,3.875,0,0,24.7,13.8,36.8,3.5,21.6
16.14,0.064,12.72007499,0.198,726.64,81.77,0.00,898.8314513,38.1,0.75,0.435,2,1.25,18,NA,26.4,3.1,21.4
20.32,0.042,8.806292078,0.110,336.12,79.64,0.00,409.711349,10,12.25,0.2,9,0,40.2,22.5,55.9,9.8,21.5
21.16,0.065,15.63690947,0.224,625.12,85.00,0.00,439.6634309,0,2.5,0.2,0,0,46,6.7,78.6,19.2,34.2
21.32,0.046,12.03327676,0.107,453.88,89.77,0.00,960.2494277,2.65,14.05,0.055,0,1,50.1,33.5,47.5,8.4,23.6
15.53,0.062,13.84705081,0.370,782.48,31.67,2316.72,730.9962339,1.75,6.05,0.125,0,2.7,20.2,4.1,36.8,7.4,21.2
19.95,0.059,12.36573547,0.268,669.90,57.62,0.00,1345.827555,7.9,1.5,0.405,0,4.75,24.3,6.8,48.5,8.7,28.4
9.98,0.058,11.9501425,0.148,906.72,60.25,0.08,838.6606441,12,46.35,0.18,8,5,38.7,25,47.3,2.9,29.3
12.67,0.065,13.51166061,0.961,692.37,20.04,0.00,1683.246527,12.1,2,1.765,0,3,26.6,7,39.4,NA,36.4
17.17,0.065,13.70859606,0.297,692.37,53.88,0.00,725.9983073,19,0,1.2,0,0,36.5,9.7,37.2,8,17.9
17.07,0.047,11.94475675,0.448,481.19,74.48,0.00,3109.672533,0.95,2.5,0.235,0,0.2,49.1,35.2,46.8,1.2,26.4
18.32,0.059,13.49482438,0.235,908.60,44.60,0.00,2127.265818,9,10,0.4,0,0.2,28.1,NA,35.3,7.5,11.5
15.97,0.058,12.57041626,0.098,754.44,84.53,0.00,3317.572326,8.5,9.3,0.05,1,0,34.8,14.7,50,6.2,15.1
17.3,0.073,10.97144874,0.128,747.84,49.93,12.32,937.5750548,17.5,8.2,0.95,0,2,20.6,5.4,22.1,6.2,14.4
13.05,0.034,5.520616479,0.318,430.30,88.71,928.58,886.9912242,2.6,16.75,0.3,15,2.5,64.7,41.7,57,3.4,35.6
14.52,0.043,12.09306944,0.232,373.79,79.78,0.00,842.3226562,20,3,0,0,4.35,18.4,NA,42.7,9,31.5
15.28,0.044,11.92245429,0.059,735.50,77.87,0.00,732.7808621,9,0,0.455,0,5.2,20.5,6.2,27.4,8.1,37.1
17.79,0.051,12.10008748,0.057,320.45,43.48,2.62,854.3216191,12,8.3,0.84,0,1.25,12.3,14.4,41.7,7.4,19.4
11.52,0.049,12.01277774,0.464,787.94,81.26,0.00,854.707278,10.4,0.75,0.67,0,0.2,21.9,24.9,51.3,6.4,25.1
12.59,0.047,12.01083645,0.083,787.94,81.54,0.00,1183.139111,2.25,13,0.945,7,4.5,22.9,9.7,32.2,3.5,20.8
17.57,0.044,11.93490195,0.582,614.08,66.70,0.00,847.8456482,0,23.5,0.435,0,0.2,28.1,10.6,42.7,6,23
13.94,0.044,10.00310489,0.380,312.86,64.44,0.00,1193.202308,1.2,12.5,0.125,12,0.7,50.3,26.7,74.8,9.8,26.3
18.45,0.045,8.934628748,0.355,653.12,82.81,0.00,1659.420762,1,0,0.35,0,0,35.3,16.5,68.5,10.7,36.8
11.93,0.032,8.499141907,0.235,110.41,84.91,0.00,4269.762889,56.25,11,0.185,11,1,37.4,10.5,43.1,5.1,22.8
12.06,0.050,12.00004387,0.979,787.94,57.45,0.00,1447.258287,5.5,4.5,0.37,0,0,15.1,24.1,50.8,5.2,40.1
20.85,0.062,14.08430861,0.987,807.16,56.25,0.00,2164.362696,21.25,0,0.625,0,0,15.2,7.9,23,3.9,11.2
14.82,0.044,12.01505311,0.780,481.61,74.76,0.00,3009.627452,0,39.55,2.35,0,0,27.8,6.9,32.1,5.3,20
20.8,0.060,13.61311903,0.251,796.65,56.47,0.00,721.0328758,9.6,3.75,0.435,0,1,28.1,7.2,40.1,5.4,19
18.37,0.061,14.15619248,0.115,796.65,44.01,0.00,2891.775386,1.75,23.8,0.76,4,1.7,26.3,1.9,40.4,6.7,12.8
19.79,0.043,11.95518491,0.164,326.16,65.15,0.00,1086.64502,6,6.6,0.325,0,0.5,19.5,10.2,50.7,6.5,29.8
17.07,0.060,14.10016995,0.151,718.65,63.71,2061.90,282.1752471,19,15,0.1,0,0,32.2,12.3,53.2,9,15.6
16.12,0.044,11.95162029,0.066,737.59,73.31,0.00,937.1354633,9,0,0.455,0,8.2,29.9,1.2,34.8,3,36.3
15.19,0.060,13.42841818,0.016,839.29,71.98,2487.72,77.21710986,0.5,38.5,0.475,0,8,36.5,29.9,55.6,6.4,24.7
15.46,0.070,12.09501745,0.751,507.43,48.45,0.00,2490.384742,12.2,2.8,0.155,1,4,26.4,11.5,56.1,7.8,30
10.6,0.056,12.10966426,0.142,821.08,82.61,0.50,542.610518,25.5,19.25,0.31,5,2.5,39.7,23.2,32.7,2.6,27.2
12.27,0.033,8.803655476,0.656,450.57,70.40,0.00,1631.123507,87.15,275.8,19.205,11,17,17.5,9,30.3,6.7,15.9
8.08,0.060,13.56960895,0.311,878.54,40.41,0.00,1688.328016,20.95,3.75,0.51,0,0,9.7,8.4,54.4,8.5,25.5
16.81,0.062,13.9100682,0.159,796.65,87.78,0.00,743.9703572,0.3,1.5,0.125,0,0.5,55.9,28.5,66.4,9.9,22.9
16.14,0.044,8.724056076,0.167,281.21,38.19,0.00,425.0042322,87.7,55.8,10.07,21,9,9.5,1.4,30.6,13,16.1
17.75,0.043,12.05245233,0.084,787.94,73.92,0.00,976.3972613,9,24.5,0.3,0,0,10.3,1.8,30.9,5.2,29
22.4,0.057,12.00226987,0.225,792.66,54.11,4358.43,1040.061237,1.25,0,0.1,4,0,40.2,14.5,42,7.4,11.8
12.17,0.062,11.85390933,0.075,726.64,67.90,0.00,1376.544159,37.1,0,0.205,0,0.2,35,19.8,49.7,4.9,32.5
