Cardiovascular Disease,Ozone,PM2.5,Diesel PM,Drinking Water,Lead,Pesticides,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
16.94,0.049,12.84192716,0.956,761.16,89.23,0.00,3196.052323,78.65,39.85,5.08,7,0,33,22.4,65.4,3.9,29.1
27.88,0.045,12.05259566,0.784,787.94,91.64,0.00,3970.780012,27.6,19.05,0.225,0,1.25,51.8,18.3,52.7,6,43.6
15.22,0.046,11.84882762,0.357,787.94,79.91,0.14,2253.086852,7.1,30,1.045,7,2.5,32,13.7,46.1,6.2,31.6
23.93,0.046,12.02968272,0.884,514.47,86.03,7.89,3172.78691,23.7,27.5,4.235,10,1.95,48.4,22.7,61.9,2.7,29.3
16.42,0.060,13.96295871,0.233,733.95,78.43,0.00,470.2217476,91.8,82.55,2.1,0,21,50.1,19.9,59.4,16,20.4
20.37,0.046,11.33220316,0.540,389.85,50.39,34.50,1078.530592,33.1,100.85,0.665,21,7.5,36.6,13,51.9,5.6,19
24.35,0.043,12.09535727,0.351,434.02,84.87,0.00,2114.729333,5.25,18,1.9,7,1.25,41.9,14.1,61.4,13,21.4
19.26,0.043,12.11292708,0.590,613.54,93.80,0.00,1070.013824,13.05,33.1,0.635,0,5.5,45.6,17.7,45.9,6,40.6
23.93,0.046,12.04351864,1.088,696.73,89.27,7.82,5116.249847,17,10.75,0.77,7,0,53.9,20.1,55.4,10,22.9
23.51,0.065,15.91452262,0.286,625.12,80.54,0.00,681.9583609,11,15,4.51,0,5.2,59,29.5,76.5,27.3,30.6
23.93,0.047,12.02588499,0.318,518.16,91.70,31.25,1025.609038,14.2,11,1.375,7,0.5,51.4,29.5,61.5,11.5,28.9
17.44,0.067,12.37134098,0.891,693.83,87.82,0.00,1566.079784,21.5,33.5,0.93,0,0.2,44.9,17.9,59.5,17.8,23
19.65,0.064,12.29587676,0.457,726.64,70.56,0.00,2892.070994,59.3,31.3,2.36,2,0,28.9,22.8,48.6,4.6,35.4
29.26,0.058,12.69298206,0.600,570.63,78.63,0.01,1115.703732,13,30,0.645,0,0,44.9,22.5,73,7.1,23
20.48,0.043,12.50092519,0.503,339.04,78.54,0.84,1663.949239,9,17.05,0.97,7,0.5,33.7,16.1,56.9,7.9,32.8
18.75,0.046,12.06526369,0.238,709.97,81.37,0.00,677.1907416,88.2,33,2.27,7,10.7,48.4,22.6,47.1,10,24.9
21.61,0.039,11.73680492,1.465,391.08,81.37,0.00,632.7478884,46.95,62.1,3.305,16,21,50.6,24.6,58.9,4.9,30.6
27.79,0.045,12.14625901,0.203,787.94,90.52,0.00,1230.505058,68.15,28.25,0.445,0,2.7,50.1,7.8,61.2,6,41
20.72,0.061,13.88830162,0.184,733.95,92.75,1.86,685.4053619,5.5,15,0.3,0,0,51.3,26.7,79.3,11.8,31.3
19.32,0.042,12.78098946,0.973,338.56,86.61,0.00,4072.827967,7.95,35.3,1.135,10,2.5,22.4,7,37.7,11.6,24.1
27.88,0.044,12.116733,0.467,787.94,86.09,0.00,3032.755893,6.7,3.6,0.225,0,3,44,10.9,68.1,11.4,42.3
25.25,0.044,12.0701055,1.093,669.99,75.13,0.00,2623.566956,54.5,20.8,1.555,0,1,54,16.3,55.9,7.7,22.7
14.57,0.038,11.70137136,1.097,391.08,76.76,0.00,856.100235,8,42.55,2.695,8,6.7,36.9,23.8,56,13.2,33.2
20.41,0.046,12.03778507,0.727,673.92,81.66,0.00,661.0383819,56.35,18.05,3.925,7,1.95,53.2,13.1,57.9,8.7,32.1
20.74,0.048,10.81852036,0.176,813.78,52.55,1036.10,913.4255036,22.2,124.05,1.03,14,8.85,39,7.1,47.1,11.7,16.7
20.82,0.065,11.81424877,0.169,726.64,75.93,0.00,1444.132983,41.6,2.5,2.62,0,3,41.1,34.5,62.7,13.6,33.9
16.69,0.055,12.03688662,0.890,821.08,89.29,4.20,1963.851443,6.25,12.25,0.405,5,1.25,28,10.5,48.3,7.4,22.5
22.68,0.060,13.65016787,0.122,733.95,62.70,2109.70,364.259288,9.2,12.5,0.27,0,3.5,40.6,9.5,69.3,13.3,21.8
19.22,0.061,13.76768283,0.586,584.00,64.75,620.78,795.7905056,15,10,0.86,0,4.1,45.5,28.8,76.9,6.9,17.1
20.87,0.048,12.25398221,0.363,787.94,98.70,0.00,752.2054963,12.75,3.55,9.81,7,5.55,60.7,26.3,60.8,5,28.5
21.48,0.062,11.52566258,0.139,726.64,62.76,0.00,1034.494912,38.75,49,0.93,0,3.5,35.1,21.5,59.9,9.8,41.1
17.86,0.048,12.14921007,0.754,553.53,62.39,0.00,2366.91483,63.3,135.7,2.615,11,18.5,35.4,19,45.6,NA,19.5
19.2,0.070,11.64985388,0.210,571.15,93.54,0.11,1831.235988,21,2.1,0.36,0,3.5,45,15.9,71.8,16.7,29.1
10.45,0.048,12.53587816,0.769,787.94,58.34,0.05,2879.594269,25.65,20,0.96,7,9.2,31.9,18.8,59.6,10.1,35.6
15.94,0.061,13.61859287,0.217,1022.76,72.76,2979.76,550.4996481,70.5,67.7,6.695,0,34.05,47,12.6,63.5,10.6,9.9
27.86,0.040,11.69108081,0.208,339.04,87.84,0.00,854.1597288,3.5,66.5,2.14,18,3.5,44.1,23.7,72.1,7.4,30.6
21.11,0.041,11.72604257,0.560,337.44,81.53,6.90,2233.800035,8.9,12.45,1.395,22,4,34.6,12.7,51.2,9.1,19.9
26.4,0.060,15.50307476,0.131,619.40,68.95,11.08,388.3283198,7.25,110.25,0.945,0,12.5,49.1,34.8,78.8,11.2,15.6
27.88,0.044,12.13275518,0.724,787.94,93.23,0.00,3767.169464,14.35,8.25,0.06,0,0.9,50.7,23.8,68.1,7,38.7
19.67,0.046,12.16800708,0.267,787.94,95.33,0.00,508.4178425,54.85,0.75,9.525,0,8,61.9,23.1,77.8,17,32.7
16.87,0.046,11.94583615,0.272,787.94,84.37,0.04,3054.125252,3.9,8.05,0.345,7,3.5,46.2,11.7,50.1,6.1,38
20.48,0.043,12.07851936,0.215,339.04,85.58,0.78,913.8811807,14,122,4.395,7,11.5,28.9,8.3,38.8,6.3,25.2
15.3,0.043,12.07684795,0.572,339.04,71.90,0.00,2820.212253,3.45,83.1,8.09,7,5,33.2,12,66.2,9.3,28
24.73,0.045,12.136112,0.322,540.06,95.18,0.00,1078.399826,27.9,27,1.91,0,1.7,52.7,24,67.6,9.5,27.4
21,0.046,12.15734144,0.316,787.94,92.70,0.00,554.9191044,57.05,4.75,1.92,7,2.6,55.5,27.4,60.3,8.1,31.8
