ZIP,Asthma Pctl,pred_asthma_pctl
90221,90.91,91.5762
92227,97.74,91.57595
90806,87.85,91.57426
90222,96.07,91.57153
95660,96.98,91.53984
93550,92.12,91.525475
93703,97.53,91.5177
94608,90.35,91.51712
93534,98.08,91.505165
90001,81.69,91.50042
90731,93.62,91.46381
94545,91.19,91.43164
94124,96.44,91.40137
90044,92.1,91.40042
95457,97.31,91.32947
94804,97.07,91.32767
93304,96.66,91.24573
95826,87.9,91.22551
90744,83.0,91.18943
90044,95.24,91.16228
90002,93.67,91.16198
93703,94.39,91.148834
92301,87.28,91.08652
93535,98.79,91.06934
90002,93.67,91.03174
95336,91.01,90.99644
94544,93.99,90.94413
92411,98.65,90.944084
94533,98.06,90.93361
93304,92.9,90.89438
93726,97.52,90.88288
93705,96.75,90.85019
90008,96.09,90.806915
90003,95.43,90.803375
93230,94.5,90.77603
95822,93.74,90.75583
94589,100.0,90.70211
91331,86.29,90.693825
93701,98.06,90.68971
90059,94.97,90.6861
90221,91.5,90.68407
90044,85.69,90.68104
94608,95.81,90.67114
93703,94.64,90.5782
93702,95.87,90.5417
90002,91.2,90.50409
90044,89.07,90.47891
94621,99.51,90.43644
91335,87.23,90.43401
94607,98.98,90.390945
95605,87.66,90.38729
92395,91.28,90.3849
90043,97.3,90.361786
95340,98.27,90.29696
90221,87.08,90.27712
90804,90.54,90.269
93662,96.82,90.257515
90044,92.04,90.256035
94603,99.89,90.25263
94533,94.07,90.231255
90044,96.46,90.159004
93706,98.23,90.14678
90805,91.14,90.14283
93725,93.77,90.13166
94124,96.44,90.12707
93308,82.35,90.117004
90003,95.43,90.1164
94544,93.99,90.10388
93534,99.31,90.08274
94590,99.81,90.05787
94605,99.63,90.01501
