feature,mean_abs_shap
Education,9.577227549690036
Lead,5.0040623777068385
PM2.5,4.14637182202403
Ozone,3.2427147913567733
Linguistic Isolation,3.1501554578551407
Unemployment,2.809009585604924
Drinking Water,2.7565968494332145
Traffic,1.4621188345879308
Groundwater Threats,1.3642139868756002
Housing Burden,1.1935772264699864
Diesel PM,1.138493955812927
Total Population,1.0266064538882127
Imp. Water Bodies,0.8608239985648948
Haz. Waste,0.8486821739790583
Cleanup Sites,0.7186654989247513
